Parameter,Initial value,Model estimate,Standard Error
k_e_P,0.949,0.303,0.070
k_p1,0.406,3.686,0.181
k_p2,0.564,40.087,29.567
k_ent,0.710,0.875,0.053
k_stor,0.380,0.031,0.014
k_sliv,0.091,0.120,0.022
D,10000.000,10000.000,0.000
F,1.000,1.000,0.000

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
D5FA16_OMM_si,0.0,0.000,,0.000,NaN,NaN,NaN
D5FA16_OMM_si,1.0,0.000,,250.400,,,
D5FA16_OMM_si,2.0,0.000,,6.307,,,
D5FA16_OMM_si,6.0,0.000,,-0.000,,,
D5FA16_OMM_Duodenum,0.0,0.000,0.000,0.000,114523.759,234.007,0.987
D5FA16_OMM_Duodenum,1.0,449.329,449.329,1073.228,,,
D5FA16_OMM_Duodenum,2.0,277.400,277.400,533.798,,,
D5FA16_OMM_Duodenum,6.0,72.072,72.072,16.339,,,
D5FA16_OMM_Jejunum,0.0,0.000,0.000,0.000,24654.554,91.006,0.950
D5FA16_OMM_Jejunum,1.0,533.048,533.048,842.507,,,
D5FA16_OMM_Jejunum,2.0,518.818,518.818,519.978,,,
D5FA16_OMM_Jejunum,6.0,69.744,69.744,16.339,,,
D5FA16_OMM_Ileum,0.0,0.000,0.000,0.000,1656.643,33.935,0.134
D5FA16_OMM_Ileum,1.0,16.555,16.555,75.455,,,
D5FA16_OMM_Ileum,2.0,75.982,75.982,47.690,,,
D5FA16_OMM_Ileum,6.0,50.050,50.050,1.502,,,
D5FA16_OMM_Plasma,0.0,0.000,0.000,0.000,44684.211,164.101,0.977
D5FA16_OMM_Plasma,1.0,563.088,563.088,934.875,,,
D5FA16_OMM_Plasma,2.0,1502.612,1502.612,1646.888,,,
D5FA16_OMM_Plasma,6.0,383.541,383.541,523.884,,,
D5FA16_OMM_Liver,0.0,0.000,0.000,0.000,55950.072,190.542,0.618
D5FA16_OMM_Liver,1.0,175.059,175.059,40.461,,,
D5FA16_OMM_Liver,2.0,454.412,454.412,206.812,,,
D5FA16_OMM_Liver,6.0,373.535,373.535,753.507,,,
D5FA16_OMM_Content_duodenum,0.0,0.000,0.000,0.000,28813.197,111.590,0.944
D5FA16_OMM_Content_duodenum,1.0,290.164,290.164,616.153,,,
D5FA16_OMM_Content_duodenum,2.0,111.579,111.579,21.904,,,
D5FA16_OMM_Content_duodenum,6.0,30.696,30.696,-0.000,,,
D5FA16_OMM_Content_jejunum,0.0,0.000,0.000,0.000,359767.867,422.944,0.937
D5FA16_OMM_Content_jejunum,1.0,1928.513,1928.513,972.146,,,
D5FA16_OMM_Content_jejunum,2.0,782.319,782.319,58.230,,,
D5FA16_OMM_Content_jejunum,6.0,11.319,11.319,-0.000,,,
D5FA16_OMM_Content_ileum,0.0,0.000,0.000,0.000,78187.098,159.184,-0.235
D5FA16_OMM_Content_ileum,1.0,38.001,38.001,92.380,,,
D5FA16_OMM_Content_ileum,2.0,561.641,561.641,5.678,,,
D5FA16_OMM_Content_ileum,6.0,26.394,26.394,-0.000,,,
D5FA16_OMM_iWAT,0.0,0.000,0.000,0.000,7393.153,54.849,0.833
D5FA16_OMM_iWAT,1.0,13.419,13.419,10.401,,,
D5FA16_OMM_iWAT,2.0,0.441,0.441,53.161,,,
D5FA16_OMM_iWAT,6.0,30.029,30.029,193.688,,,
D5FA16_OMM_eWAT,0.0,0.000,0.000,0.000,10041.249,64.129,0.966
D5FA16_OMM_eWAT,1.0,0.000,0.000,10.401,,,
D5FA16_OMM_eWAT,2.0,0.000,0.000,53.161,,,
D5FA16_OMM_eWAT,6.0,0.735,0.735,193.688,,,
D5FA16_OMM_Content_colon,0.0,0.000,0.000,0.000,32463.558,129.507,-0.453
D5FA16_OMM_Content_colon,1.0,2.332,2.332,102.784,,,
D5FA16_OMM_Content_colon,2.0,87.844,87.844,6.686,,,
D5FA16_OMM_Content_colon,6.0,336.418,336.418,-0.000,,,
D5FA16_OMM_Content_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
D5FA16_OMM_Content_cecum,1.0,0.000,,97.522,,,
D5FA16_OMM_Content_cecum,2.0,0.000,,6.163,,,
D5FA16_OMM_Content_cecum,6.0,0.000,,-0.000,,,
D31FA16_OMM_si,0.0,0.000,,0.000,NaN,NaN,NaN
D31FA16_OMM_si,1.0,0.000,,250.400,,,
D31FA16_OMM_si,2.0,0.000,,6.307,,,
D31FA16_OMM_si,6.0,0.000,,-0.000,,,
D31FA16_OMM_Duodenum,0.0,0.000,0.000,0.000,67952.033,188.431,0.994
D31FA16_OMM_Duodenum,1.0,618.572,618.572,1073.228,,,
D31FA16_OMM_Duodenum,2.0,283.329,283.329,533.798,,,
D31FA16_OMM_Duodenum,6.0,64.939,64.939,16.339,,,
D31FA16_OMM_Jejunum,0.0,0.000,0.000,0.000,152673.441,268.612,0.977
D31FA16_OMM_Jejunum,1.0,1587.805,1587.805,842.507,,,
D31FA16_OMM_Jejunum,2.0,707.518,707.518,519.978,,,
D31FA16_OMM_Jejunum,6.0,157.947,157.947,16.339,,,
D31FA16_OMM_Ileum,0.0,0.000,0.000,0.000,9628.249,71.029,0.279
D31FA16_OMM_Ileum,1.0,82.228,82.228,75.455,,,
D31FA16_OMM_Ileum,2.0,184.415,184.415,47.690,,,
D31FA16_OMM_Ileum,6.0,142.121,142.121,1.502,,,
D31FA16_OMM_Plasma,0.0,0.000,0.000,0.000,37195.272,149.392,0.962
D31FA16_OMM_Plasma,1.0,627.559,627.559,934.875,,,
D31FA16_OMM_Plasma,2.0,1870.165,1870.165,1646.888,,,
D31FA16_OMM_Plasma,6.0,590.859,590.859,523.884,,,
D31FA16_OMM_Liver,0.0,0.000,0.000,0.000,69550.912,210.123,0.605
D31FA16_OMM_Liver,1.0,190.588,190.588,40.461,,,
D31FA16_OMM_Liver,2.0,645.171,645.171,206.812,,,
D31FA16_OMM_Liver,6.0,501.500,501.500,753.507,,,
D31FA16_OMM_Content_duodenum,0.0,0.000,0.000,0.000,46779.214,139.419,0.888
D31FA16_OMM_Content_duodenum,1.0,194.419,194.419,616.153,,,
D31FA16_OMM_Content_duodenum,2.0,92.789,92.789,21.904,,,
D31FA16_OMM_Content_duodenum,6.0,65.054,65.054,-0.000,,,
D31FA16_OMM_Content_jejunum,0.0,0.000,0.000,0.000,80692.255,225.158,0.969
D31FA16_OMM_Content_jejunum,1.0,1376.866,1376.866,972.146,,,
D31FA16_OMM_Content_jejunum,2.0,440.362,440.362,58.230,,,
D31FA16_OMM_Content_jejunum,6.0,113.782,113.782,-0.000,,,
D31FA16_OMM_Content_ileum,0.0,0.000,0.000,0.000,30439.492,111.706,0.058
D31FA16_OMM_Content_ileum,1.0,136.152,136.152,92.380,,,
D31FA16_OMM_Content_ileum,2.0,346.158,346.158,5.678,,,
D31FA16_OMM_Content_ileum,6.0,62.574,62.574,-0.000,,,
D31FA16_OMM_iWAT,0.0,0.000,0.000,0.000,4613.987,45.401,0.994
D31FA16_OMM_iWAT,1.0,0.000,0.000,10.401,,,
D31FA16_OMM_iWAT,2.0,10.529,10.529,53.161,,,
D31FA16_OMM_iWAT,6.0,65.118,65.118,193.688,,,
D31FA16_OMM_eWAT,0.0,0.000,0.000,0.000,11760.560,85.331,-0.306
D31FA16_OMM_eWAT,1.0,117.757,117.757,10.401,,,
D31FA16_OMM_eWAT,2.0,0.000,0.000,53.161,,,
D31FA16_OMM_eWAT,6.0,12.882,12.882,193.688,,,
D31FA16_OMM_Content_colon,0.0,0.000,0.000,0.000,16573.293,102.570,-0.483
D31FA16_OMM_Content_colon,1.0,9.193,9.193,102.784,,,
D31FA16_OMM_Content_colon,2.0,104.249,104.249,6.686,,,
D31FA16_OMM_Content_colon,6.0,219.124,219.124,-0.000,,,
D31FA16_OMM_Content_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
D31FA16_OMM_Content_cecum,1.0,0.000,,97.522,,,
D31FA16_OMM_Content_cecum,2.0,0.000,,6.163,,,
D31FA16_OMM_Content_cecum,6.0,0.000,,-0.000,,,
D5FA16_SPF_si,0.0,0.000,,0.000,NaN,NaN,NaN
D5FA16_SPF_si,1.0,0.000,,250.400,,,
D5FA16_SPF_si,2.0,0.000,,6.307,,,
D5FA16_SPF_si,6.0,0.000,,-0.000,,,
D5FA16_SPF_Duodenum,0.0,0.000,0.000,0.000,198596.355,304.245,0.977
D5FA16_SPF_Duodenum,1.0,260.925,260.925,1073.228,,,
D5FA16_SPF_Duodenum,2.0,169.182,169.182,533.798,,,
D5FA16_SPF_Duodenum,6.0,56.399,56.399,16.339,,,
D5FA16_SPF_Jejunum,0.0,0.000,0.000,0.000,40058.567,167.308,0.828
D5FA16_SPF_Jejunum,1.0,549.099,549.099,842.507,,,
D5FA16_SPF_Jejunum,2.0,749.871,749.871,519.978,,,
D5FA16_SPF_Jejunum,6.0,162.268,162.268,16.339,,,
D5FA16_SPF_Ileum,0.0,0.000,0.000,0.000,2602.982,42.617,0.163
D5FA16_SPF_Ileum,1.0,34.392,34.392,75.455,,,
D5FA16_SPF_Ileum,2.0,99.108,99.108,47.690,,,
D5FA16_SPF_Ileum,6.0,79.489,79.489,1.502,,,
D5FA16_SPF_Plasma,0.0,0.000,0.000,0.000,259082.663,313.215,0.822
D5FA16_SPF_Plasma,1.0,745.188,745.188,934.875,,,
D5FA16_SPF_Plasma,2.0,648.835,648.835,1646.888,,,
D5FA16_SPF_Plasma,6.0,458.765,458.765,523.884,,,
D5FA16_SPF_Liver,0.0,0.000,0.000,0.000,21898.125,114.248,0.915
D5FA16_SPF_Liver,1.0,186.624,186.624,40.461,,,
D5FA16_SPF_Liver,2.0,456.888,456.888,206.812,,,
D5FA16_SPF_Liver,6.0,692.753,692.753,753.507,,,
D5FA16_SPF_Content_duodenum,0.0,0.000,0.000,0.000,26232.872,105.641,0.935
D5FA16_SPF_Content_duodenum,1.0,308.654,308.654,616.153,,,
D5FA16_SPF_Content_duodenum,2.0,122.769,122.769,21.904,,,
D5FA16_SPF_Content_duodenum,6.0,14.200,14.200,-0.000,,,
