Parameter,Initial value,Model estimate,Standard Error
k_e_P,0.949,0.296,0.061
k_p1,0.406,3.736,0.165
k_p2,0.564,37.181,22.573
k_ent,0.000,0.000,0.000
k_stor,0.710,0.038,0.012
k_sliv,0.380,0.110,0.019
D,10000.000,10000.000,0.000
F,1.000,1.000,0.000
k_ent_gf,0.091,1.360,0.095
k_ent_omm,0.449,0.745,0.069
k_ent_spf,0.850,0.590,0.065

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
D5FA16_OMM_si,0.0,0.000,,0.000,NaN,NaN,NaN
D5FA16_OMM_si,1.0,0.000,,238.304,,,
D5FA16_OMM_si,2.0,0.000,,5.657,,,
D5FA16_OMM_si,6.0,0.000,,0.000,,,
D5FA16_OMM_Duodenum,0.0,0.000,0.000,0.000,95065.148,217.592,0.992
D5FA16_OMM_Duodenum,1.0,449.329,449.329,997.953,,,
D5FA16_OMM_Duodenum,2.0,277.400,277.400,555.562,,,
D5FA16_OMM_Duodenum,6.0,72.072,72.072,28.489,,,
D5FA16_OMM_Jejunum,0.0,0.000,0.000,0.000,17409.754,81.251,0.968
D5FA16_OMM_Jejunum,1.0,533.048,533.048,792.567,,,
D5FA16_OMM_Jejunum,2.0,518.818,518.818,543.047,,,
D5FA16_OMM_Jejunum,6.0,69.744,69.744,28.489,,,
D5FA16_OMM_Ileum,0.0,0.000,0.000,0.000,1600.670,32.416,0.193
D5FA16_OMM_Ileum,1.0,16.555,16.555,77.476,,,
D5FA16_OMM_Ileum,2.0,75.982,75.982,54.425,,,
D5FA16_OMM_Ileum,6.0,50.050,50.050,2.862,,,
D5FA16_OMM_Plasma,0.0,0.000,0.000,0.000,16470.659,110.557,0.980
D5FA16_OMM_Plasma,1.0,563.088,563.088,726.635,,,
D5FA16_OMM_Plasma,2.0,1502.612,1502.612,1350.960,,,
D5FA16_OMM_Plasma,6.0,383.541,383.541,510.572,,,
D5FA16_OMM_Liver,0.0,0.000,0.000,0.000,40814.195,168.221,0.602
D5FA16_OMM_Liver,1.0,175.059,175.059,28.497,,,
D5FA16_OMM_Liver,2.0,454.412,454.412,150.825,,,
D5FA16_OMM_Liver,6.0,373.535,373.535,596.272,,,
D5FA16_OMM_Content_duodenum,0.0,0.000,0.000,0.000,30861.846,114.650,0.943
D5FA16_OMM_Content_duodenum,1.0,290.164,290.164,628.524,,,
D5FA16_OMM_Content_duodenum,2.0,111.579,111.579,22.035,,,
D5FA16_OMM_Content_duodenum,6.0,30.696,30.696,0.000,,,
D5FA16_OMM_Content_jejunum,0.0,0.000,0.000,0.000,331497.452,407.456,0.937
D5FA16_OMM_Content_jejunum,1.0,1928.513,1928.513,1029.591,,,
D5FA16_OMM_Content_jejunum,2.0,782.319,782.319,62.735,,,
D5FA16_OMM_Content_jejunum,6.0,11.319,11.319,0.000,,,
D5FA16_OMM_Content_ileum,0.0,0.000,0.000,0.000,78359.947,162.694,-0.234
D5FA16_OMM_Content_ileum,1.0,38.001,38.001,107.481,,,
D5FA16_OMM_Content_ileum,2.0,561.641,561.641,6.740,,,
D5FA16_OMM_Content_ileum,6.0,26.394,26.394,0.000,,,
D5FA16_OMM_iWAT,0.0,0.000,0.000,0.000,8497.188,58.074,0.840
D5FA16_OMM_iWAT,1.0,13.419,13.419,9.888,,,
D5FA16_OMM_iWAT,2.0,0.441,0.441,52.335,,,
D5FA16_OMM_iWAT,6.0,30.029,30.029,206.900,,,
D5FA16_OMM_eWAT,0.0,0.000,0.000,0.000,11335.186,67.097,0.972
D5FA16_OMM_eWAT,1.0,0.000,0.000,9.888,,,
D5FA16_OMM_eWAT,2.0,0.000,0.000,52.335,,,
D5FA16_OMM_eWAT,6.0,0.735,0.735,206.900,,,
D5FA16_OMM_Content_colon,0.0,0.000,0.000,0.000,33368.884,133.562,-0.453
D5FA16_OMM_Content_colon,1.0,2.332,2.332,120.355,,,
D5FA16_OMM_Content_colon,2.0,87.844,87.844,8.037,,,
D5FA16_OMM_Content_colon,6.0,336.418,336.418,0.000,,,
D5FA16_OMM_Content_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
D5FA16_OMM_Content_cecum,1.0,0.000,,113.845,,,
D5FA16_OMM_Content_cecum,2.0,0.000,,7.362,,,
D5FA16_OMM_Content_cecum,6.0,0.000,,0.000,,,
D31FA16_OMM_si,0.0,0.000,,0.000,NaN,NaN,NaN
D31FA16_OMM_si,1.0,0.000,,238.304,,,
D31FA16_OMM_si,2.0,0.000,,5.657,,,
D31FA16_OMM_si,6.0,0.000,,0.000,,,
D31FA16_OMM_Duodenum,0.0,0.000,0.000,0.000,54842.108,172.016,0.990
D31FA16_OMM_Duodenum,1.0,618.572,618.572,997.953,,,
D31FA16_OMM_Duodenum,2.0,283.329,283.329,555.562,,,
D31FA16_OMM_Duodenum,6.0,64.939,64.939,28.489,,,
D31FA16_OMM_Jejunum,0.0,0.000,0.000,0.000,169053.567,272.292,0.964
D31FA16_OMM_Jejunum,1.0,1587.805,1587.805,792.567,,,
D31FA16_OMM_Jejunum,2.0,707.518,707.518,543.047,,,
D31FA16_OMM_Jejunum,6.0,157.947,157.947,28.489,,,
D31FA16_OMM_Ileum,0.0,0.000,0.000,0.000,9078.178,68.500,0.330
D31FA16_OMM_Ileum,1.0,82.228,82.228,77.476,,,
D31FA16_OMM_Ileum,2.0,184.415,184.415,54.425,,,
D31FA16_OMM_Ileum,6.0,142.121,142.121,2.862,,,
D31FA16_OMM_Plasma,0.0,0.000,0.000,0.000,71458.956,174.642,0.974
D31FA16_OMM_Plasma,1.0,627.559,627.559,726.635,,,
D31FA16_OMM_Plasma,2.0,1870.165,1870.165,1350.960,,,
D31FA16_OMM_Plasma,6.0,590.859,590.859,510.572,,,
D31FA16_OMM_Liver,0.0,0.000,0.000,0.000,69908.136,187.802,0.588
D31FA16_OMM_Liver,1.0,190.588,190.588,28.497,,,
D31FA16_OMM_Liver,2.0,645.171,645.171,150.825,,,
D31FA16_OMM_Liver,6.0,501.500,501.500,596.272,,,
D31FA16_OMM_Content_duodenum,0.0,0.000,0.000,0.000,49421.295,142.478,0.888
D31FA16_OMM_Content_duodenum,1.0,194.419,194.419,628.524,,,
D31FA16_OMM_Content_duodenum,2.0,92.789,92.789,22.035,,,
D31FA16_OMM_Content_duodenum,6.0,65.054,65.054,0.000,,,
